@relation mixed

@attribute at1 {TRUE,FALSE}
@attribute at2 {FALSE,TRUE}
@attribute at3 numeric
@attribute at4 numeric
@attribute C {FALSE,TRUE}

@data
TRUE,FALSE,0.140537,0.26652,TRUE
FALSE,TRUE,0.598906,0.375087,FALSE
TRUE,TRUE,0.515558,0.10564,TRUE
FALSE,FALSE,0.820222,0.977363,FALSE
TRUE,TRUE,0.121319,0.417537,TRUE
FALSE,FALSE,0.532966,0.68392,FALSE
TRUE,FALSE,0.187784,0.59098,TRUE
FALSE,TRUE,0.34482,0.977757,FALSE
TRUE,FALSE,0.132814,0.305578,TRUE
TRUE,FALSE,0.231194,0.899539,FALSE
TRUE,TRUE,0.785663,0.578573,TRUE
FALSE,TRUE,0.297496,0.99147,FALSE
TRUE,TRUE,0.640983,0.646076,TRUE
FALSE,FALSE,0.522883,0.656397,FALSE
TRUE,TRUE,0.568816,0.097939,TRUE
TRUE,FALSE,0.370876,0.638735,FALSE
TRUE,TRUE,0.885436,0.296048,TRUE
FALSE,FALSE,0.418446,0.80061,FALSE
TRUE,FALSE,0.359752,0.227667,TRUE
FALSE,TRUE,0.6282,0.764546,FALSE
TRUE,FALSE,0.117991,0.764069,TRUE
FALSE,FALSE,0.373981,0.532327,FALSE
TRUE,TRUE,0.330186,0.519413,TRUE
TRUE,FALSE,0.146101,0.826033,FALSE
TRUE,FALSE,0.81006,0.013839,TRUE
FALSE,TRUE,0.39643,0.552753,FALSE
TRUE,TRUE,0.762757,0.781873,TRUE
FALSE,TRUE,0.08666,0.783847,FALSE
TRUE,FALSE,0.734826,0.235399,TRUE
FALSE,FALSE,0.855268,0.901219,FALSE
TRUE,FALSE,0.772784,0.53801,TRUE
TRUE,FALSE,0.089925,0.836403,FALSE
TRUE,TRUE,0.25338,0.714385,TRUE
FALSE,FALSE,0.097418,0.973361,FALSE
TRUE,TRUE,0.489273,0.139698,TRUE
FALSE,FALSE,0.336411,0.69616,FALSE
TRUE,TRUE,0.111277,0.992425,TRUE
FALSE,TRUE,0.136711,0.925759,FALSE
TRUE,TRUE,0.961996,0.567128,TRUE
FALSE,FALSE,0.181589,0.862412,FALSE
TRUE,TRUE,0.989164,0.324365,TRUE
FALSE,FALSE,0.170473,0.917977,FALSE
TRUE,TRUE,0.240925,0.552307,TRUE
FALSE,TRUE,0.411685,0.598911,FALSE
TRUE,FALSE,0.483474,0.191753,TRUE
FALSE,TRUE,0.97007,0.667559,FALSE
TRUE,FALSE,0.270149,0.4439,TRUE
