@relation sine1g

@attribute X numeric
@attribute Y numeric
@attribute C {FALSE,TRUE}

@data
0.200214,0.038759,TRUE
0.685219,0.899117,FALSE
0.916876,0.680385,TRUE
0.284399,0.789222,FALSE
0.10465,0.070542,TRUE
0.701057,0.921941,FALSE
0.52796,0.245021,TRUE
0.807935,0.945243,FALSE
0.9565,0.624922,TRUE
0.110453,0.440879,FALSE
0.273285,0.030197,TRUE
0.490513,0.853257,FALSE
0.318404,0.249836,TRUE
0.559173,0.891085,FALSE
0.262593,0.042986,TRUE
0.201875,0.250628,FALSE
0.387526,0.220832,TRUE
0.88787,0.960649,FALSE
0.554923,0.412868,TRUE
0.842179,0.796677,FALSE
0.890207,0.601722,TRUE
0.720701,0.805521,FALSE
0.21134,0.029104,TRUE
0.225717,0.646615,FALSE
0.139984,0.054932,TRUE
0.479914,0.53103,FALSE
0.437412,0.268928,TRUE
0.965964,0.872815,FALSE
0.141914,0.069514,TRUE
0.954979,0.950271,FALSE
0.444731,0.329624,TRUE
0.059362,0.391908,FALSE
0.275149,0.135948,TRUE
0.031148,0.094769,FALSE
0.014482,0.009093,TRUE
0.487169,0.755056,FALSE
0.595152,0.321995,TRUE
0.597853,0.73218,FALSE
0.397681,0.32706,TRUE
0.39683,0.630972,FALSE
0.816076,0.446149,TRUE
0.235199,0.409304,FALSE
0.82687,0.045854,TRUE
0.533476,0.893594,FALSE
0.928943,0.276763,TRUE
0.549795,0.604086,FALSE
0.760143,0.150281,TRUE
0.06851,0.199524,FALSE
0.793609,0.448502,TRUE
0.632803,0.774461,FALSE
0.384577,0.260572,TRUE
0.566273,0.731565,FALSE
0.921991,0.529234,TRUE
0.975878,0.865239,FALSE
0.933034,0.344716,TRUE
0.381163,0.890294,FALSE
0.255564,0.060395,TRUE
0.257484,0.684057,FALSE
0.196886,0.157552,TRUE
0.136401,0.771428,FALSE
0.623967,0.06675,TRUE
0.173745,0.983905,FALSE
0.866435,0.509117,TRUE
0.989336,0.993567,FALSE
0.986636,0.013473,TRUE
0.892013,0.856581,FALSE
0.888218,0.755906,TRUE
