@relation whatever-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute l1.c numeric
@attribute l1.d numeric
@attribute l1.e numeric
@attribute l1.f numeric
@attribute l1.g numeric
@attribute c {0,1}

@data
0.056443,0.439155,0,0,0.414912,1
0.051699,0.415055,0,0,0.414912,1
0.051489,0.385004,0,0,0.414912,1
0.045485,0.314639,0,0,0.414912,1
0.042482,0.251116,0,0,0.414912,0
0.041161,0.207528,0,0,0.414912,0
0.041161,0.171824,0,0,0.414912,0
0.041161,0.152782,0,0,0.414912,0
0.041161,0.13493,0,0,0.414912,0
0.041161,0.140583,0,0,0.414912,0
0.044374,0.168997,0,0,0.414912,1
0.049868,0.212437,0,0,0.414912,1
0.051489,0.298721,0,0,0.414912,1
0.042482,0.39036,0,0,0.414912,0
0.040861,0.402261,0,0,0.414912,0
0.040711,0.462214,0,0,0.414912,0
0.040861,0.488248,0,0,0.414912,0
0.040711,0.493306,0,0,0.414912,0
0.041041,0.53258,0,0,0.414912,0
0.041161,0.546415,0,0,0.414912,0
0.044374,0.53496,0,0,0.414912,1
0.044374,0.51681,0,0,0.414912,1
0.044374,0.513984,0,0,0.414912,1
0.045485,0.513835,0,0,0.414912,1
0.044374,0.505356,0,0,0.414912,1
0.044374,0.497917,0,0,0.414912,1
0.042482,0.499554,0,0,0.414912,0
0.044374,0.491669,0,0,0.414912,1
0.044374,0.489735,0,0,0.414912,1
0.042482,0.47709,0,0,0.414912,0
0.040861,0.466825,0,0,0.414912,0
0.041161,0.478132,0,0,0.414912,0
0.041161,0.484975,0,0,0.414912,0
0.041161,0.503124,0,0,0.414912,0
0.042482,0.55296,0,0,0.414912,0
0.044374,0.612318,0,0,0.414912,1
0.041041,0.587623,0,0,0.414912,0
0.040711,0.546861,0,0,0.414912,0
0.040711,0.497025,0,0,0.414912,0
0.040861,0.470693,0,0,0.414912,0
0.041041,0.446296,0,0,0.414912,0
0.042482,0.412229,0,0,0.414912,0
0.041161,0.368789,0,0,0.414912,0
0.051489,0.34573,0,0,0.414912,1
0.056443,0.40479,0,0,0.414912,1
0.054642,0.42889,0,0,0.414912,1
0.059235,0.445254,0,0,0.414912,1
0.054642,0.44094,0,0,0.414912,1
0.059235,0.442874,0,0,0.414912,1
0.056443,0.41089,0,0,0.414912,1
0.051489,0.378905,0,0,0.414912,1
0.044374,0.316721,0,0,0.414912,0
0.041041,0.257959,0,0,0.414912,0
0.041161,0.214073,0,0,0.414912,0
0.041161,0.178816,0,0,0.414912,0
0.040951,0.151889,0,0,0.414912,0
0.041011,0.1385,0,0,0.414912,0
0.041041,0.142071,0,0,0.414912,0
0.042482,0.171675,0,0,0.414912,0
0.051489,0.214519,0,0,0.414912,1
0.051489,0.30244,0,0,0.414912,1
0.051489,0.393038,0,0,0.414912,1
0.040861,0.395567,0,0,0.414912,0
0.040861,0.456561,0,0,0.414912,0
0.040861,0.487504,0,0,0.414912,0
0.040861,0.488991,0,0,0.414912,0
0.041041,0.52886,0,0,0.414912,0
0.041041,0.533323,0,0,0.414912,0
0.041041,0.519935,0,0,0.414912,0
0.042362,0.502529,0,0,0.414912,0
0.042482,0.491818,0,0,0.414912,0
0.044374,0.486909,0,0,0.414912,0
0.044374,0.480363,0,0,0.414912,0
0.042482,0.477388,0,0,0.414912,0
0.042482,0.477388,0,0,0.414912,0
0.042482,0.47114,0,0,0.414912,0
0.041041,0.462065,0,0,0.414912,0
0.040861,0.445403,0,0,0.414912,0
0.040861,0.442428,0,0,0.414912,0
0.040861,0.450759,0,0,0.414912,0
0.040861,0.455965,0,0,0.414912,0
0.040861,0.484677,0,0,0.414912,0
0.041041,0.53377,0,0,0.414912,0
0.041041,0.604136,0,0,0.414912,0
0.040861,0.587028,0,0,0.414912,0
0.040711,0.552812,0,0,0.414912,0
0.040711,0.51086,0,0,0.414912,0
0.040861,0.480065,0,0,0.414912,0
0.041041,0.452246,0,0,0.414912,0
0.041041,0.431568,0,0,0.414912,0
0.041041,0.3856,0,0,0.414912,0
0.041041,0.350342,0,0,0.414912,0
0.056443,0.409104,0,0,0.414912,1
0.055362,0.435138,0,0,0.414912,1
0.059235,0.456412,0,0,0.414912,1
