 DESDD	DDD	DDM	LEV
AgrawalAbrupt	0.8127312	0.8193916	0.8412718	0.8122091
AgrawalAbruptNoise	0.8146406	0.8001405	0.7995881	0.779179
AgrawalGradual	0.7784468	0.7976051	0.7912666	0.7814059
AgrawalGradualNoise	0.7702162	0.7837102	0.7861085	0.7392065
Gauss	0.862241	0.8662658	0.8076621	0.7655355
SEAAbrupt	0.9351927	0.929389	0.9292438	0.9313012
SEAAbruptNoise	0.8351093	0.8187043	0.8407064	0.8346141
SEAGradual	0.9255112	0.9235477	0.9207129	0.926524
SEAGradualNoise	0.8374331	0.8236927	0.8380178	0.8299975
Sine1	0.9331255	0.8678821	0.8931366	0.850636
ForestCovertype	0.9327601	0.8477301	0.8745061	0.9117122
KDDCup	0.9996604	0.9995804	0.999592	0.9996587
PokerHand	0.9106336	0.7806258	0.7368024	0.8610401
Spam	0.9625707	0.905367	0.9089499	0.9430927
