 DESDD	DDD	DDM	LEV
AgrawalAbrupt	0.811825	0.8196936	0.841533	0.8110617
AgrawalAbruptNoise	0.811476	0.7963025	0.7972189	0.7767664
AgrawalGradual	0.7782212	0.7985957	0.7922729	0.7814403
AgrawalGradualNoise	0.7688622	0.7805825	0.7845972	0.7379665
Gauss	0.8608457	0.8649314	0.8074481	0.7654307
SEAAbrupt	0.9325096	0.9265285	0.9265415	0.9284888
SEAAbruptNoise	0.8322876	0.8172927	0.8388555	0.8328253
SEAGradual	0.921928	0.9207927	0.9183883	0.9237921
SEAGradualNoise	0.8348005	0.8228797	0.8368133	0.8288063
Sine1	0.9305361	0.8662475	0.8914717	0.847502
ForestCovertype	0.9302483	0.8462365	0.8721941	0.9086322
KDDCup99	0.9996281	0.9995526	0.9995638	0.99963
PokerHand	0.9096907	0.7805297	0.7368375	0.859791
Spam	0.9629498	0.9066674	0.9100059	0.9434693
