	k1	k3	k5	k7	k9
Hglass	0.684300962	0.66233503	0.707456254	0.720420701	0.708149487
Fabien	0.466150628	0.420832958	0.42022661	0.397853175	0.381653382
Marsyas	0.533882138	0.500650727	0.502100316	0.501676218	0.490575202
Thomas-rh	0.339989886	0.329285545	0.314041007	0.328230418	0.333651581
Thomas-ssd	0.489161989	0.470155564	0.468978495	0.467648401	0.459873876
G-Pfam	0.438350929	0.284215753	0.248147269	0.204350149	0.195609183
G-Prints	0.593241001	0.553652219	0.542599942	0.533655808	0.519113361
G-prosite	0.391982671	0.217332986	0.170593491	0.14016838	0.130176651
G-Interpro	0.598627865	0.568112986	0.569319828	0.559287769	0.545438696
E-Pfam	0.8049441	0.820815168	0.818078154	0.802719275	0.754551651
E-Prints	0.739994934	0.773072218	0.742703585	0.716439757	0.726666047
E-prosite	0.819191294	0.792582453	0.739927007	0.75212972	0.699660207
E-Interpro	0.786117306	0.815994599	0.770917029	0.75761722	0.722407418
